antibiotic,feature,n_present,prevalence_pct
ciprofloxacin,amr__aac2-iia,1,0.014
ciprofloxacin,amr__aac3,1,0.014
ciprofloxacin,amr__aac3-i,1,0.014
ciprofloxacin,amr__aac3-ib,3,0.041
ciprofloxacin,amr__aac3-ibaac6-ib3_bifunctional_protein,1,0.014
ciprofloxacin,amr__aac3-iia,36,0.492
ciprofloxacin,amr__aac3-iib,1,0.014
ciprofloxacin,amr__aac3-iic,35,0.479
ciprofloxacin,amr__aac3-iid,59,0.807
ciprofloxacin,amr__aac3-iie,35,0.479
ciprofloxacin,amr__aac3-iiiiiivviviiiixx,116,1.586
ciprofloxacin,amr__aac3-iv,1,0.014
ciprofloxacin,amr__aac3-iva,1,0.014
ciprofloxacin,amr__aac3-vi,1,0.014
ciprofloxacin,amr__aac3-via,18,0.246
ciprofloxacin,amr__aac6-ib,2,0.027
ciprofloxacin,amr__aac6-ib-cr,58,0.793
ciprofloxacin,amr__aac6-ib-cr4,1,0.014
ciprofloxacin,amr__aac6-ib10,76,1.039
ciprofloxacin,amr__aac6-ib11,1,0.014
ciprofloxacin,amr__aac6-ib3,1,0.014
ciprofloxacin,amr__aac6-ib7,7,0.096
ciprofloxacin,amr__aac6-ib8,3,0.041
ciprofloxacin,amr__aac6-ib9,1,0.014
ciprofloxacin,amr__aac6-ib_family_aminoglycoside_6-n-acetyltransferase,6,0.082
ciprofloxacin,amr__aac6-ibaac6-ii,2,0.027
ciprofloxacin,amr__aaca-aphd,3,0.041
ciprofloxacin,amr__aaca4,1,0.014
ciprofloxacin,amr__aad6,1,0.014
ciprofloxacin,amr__aada,221,3.022
ciprofloxacin,amr__aada1,25,0.342
ciprofloxacin,amr__aada15,14,0.191
ciprofloxacin,amr__aada16,3,0.041
ciprofloxacin,amr__aada17,1,0.014
ciprofloxacin,amr__aada2,88,1.203
ciprofloxacin,amr__aada21,7,0.096
ciprofloxacin,amr__aada22,10,0.137
ciprofloxacin,amr__aada23,3,0.041
ciprofloxacin,amr__aada24,8,0.109
ciprofloxacin,amr__aada3,22,0.301
ciprofloxacin,amr__aada5,275,3.76
ciprofloxacin,amr__aada7,1,0.014
ciprofloxacin,amr__aada8,7,0.096
ciprofloxacin,amr__aada8b,2,0.027
ciprofloxacin,amr__abc-f_type_ribosomal_protection_protein_msre,1,0.014
ciprofloxacin,amr__abc-type_siderophore_export_system_fused_atpase_and_permease_components,211,2.885
ciprofloxacin,amr__acinetobacter_baumannii_abaf,1,0.014
ciprofloxacin,amr__acra,867,11.856
ciprofloxacin,amr__acra_1,6,0.082
ciprofloxacin,amr__acra_2,6,0.082
ciprofloxacin,amr__acrab-tolc,2169,29.66
ciprofloxacin,amr__acrad-tolc,848,11.596
ciprofloxacin,amr__acrb,1797,24.573
ciprofloxacin,amr__acrb_1,10,0.137
ciprofloxacin,amr__acrb_2,11,0.15
ciprofloxacin,amr__acrb_3,6,0.082
ciprofloxacin,amr__acrb_4,0,0.0
ciprofloxacin,amr__acrd,1815,24.819
ciprofloxacin,amr__acrd_1,1,0.014
ciprofloxacin,amr__acrd_2,2,0.027
ciprofloxacin,amr__acre,1782,24.368
ciprofloxacin,amr__acref-tolc,1543,21.099
ciprofloxacin,amr__acrf,1818,24.86
ciprofloxacin,amr__acrr,915,12.512
ciprofloxacin,amr__acrr_1,5,0.068
ciprofloxacin,amr__acrr_2,1,0.014
ciprofloxacin,amr__acrs,1733,23.698
ciprofloxacin,amr__acrz,771,10.543
ciprofloxacin,amr__acrz_membrane_protein_associated_with_acrab-tolc_multidrug_efflux_pump,259,3.542
ciprofloxacin,amr__adef,1,0.014
ciprofloxacin,amr__adeg,1,0.014
ciprofloxacin,amr__adiy,824,11.268
ciprofloxacin,amr__alanine_racemase_ec_5.1.1.1,414,5.661
ciprofloxacin,amr__alanyl-trna_synthetase_ec_6.1.1.7,220,3.008
ciprofloxacin,amr__alas,853,11.664
ciprofloxacin,amr__alr,1479,20.224
ciprofloxacin,amr__aminoglycoside_2-nucleotidyltransferase_ec_2.7.7.46_ant2-ia_aadb_family,5,0.068
ciprofloxacin,amr__aminoglycoside_3-nucleotidyltransferase_ec_2.7.7.-_ant3-ia_aada_family,163,2.229
ciprofloxacin,amr__aminoglycoside_3-phosphotransferase_ec_2.7.1.87_aph3-i,130,1.778
ciprofloxacin,amr__aminoglycoside_3-phosphotransferase_ec_2.7.1.95_aph3-i,11,0.15
ciprofloxacin,amr__aminoglycoside_3-phosphotransferase_ec_2.7.1.95_aph3-iiiaph3-ivaph3-viaph3-vii,1,0.014
ciprofloxacin,amr__aminoglycoside_6-nucleotidyltransferase_ec_2.7.7.-_ant6-i,1,0.014
ciprofloxacin,amr__aminoglycoside_6-phosphotransferase_ec_2.7.1.72_aph6-icaph6-id,140,1.914
ciprofloxacin,amr__aminoglycoside_6-phosphotransferase_putative,2,0.027
ciprofloxacin,amr__aminoglycoside_n-acetyltransferase_aac3-ib,1,0.014
ciprofloxacin,amr__aminoglycoside_n-acetyltransferase_aac3-iid,64,0.875
ciprofloxacin,amr__aminoglycoside_n-acetyltransferase_aac3-iie,49,0.67
ciprofloxacin,amr__aminoglycoside_n-acetyltransferase_aac3-iva,2,0.027
ciprofloxacin,amr__aminoglycoside_n-acetyltransferase_aac3-via,8,0.109
ciprofloxacin,amr__aminoglycoside_n3-acetyltransferase_ec_2.3.1.81_aac3-iiiiiivviviiiixx,27,0.369
ciprofloxacin,amr__aminoglycoside_n6-acetyltransferase_ec_2.3.1.82_aac6-ib-cr_fluoroquinolone-acetylating,30,0.41
ciprofloxacin,amr__aminoglycoside_n6-acetyltransferase_ec_2.3.1.82_aac6-ibaac6-ii,7,0.096
ciprofloxacin,amr__aminoglycoside_nucleotidyltransferase_ant2-ia,9,0.123
ciprofloxacin,amr__aminoglycoside_nucleotidyltransferase_ant9-ia,3,0.041
ciprofloxacin,amr__aminoglycoside_o-nucleotidyltransferase_ant4-ia,1,0.014
ciprofloxacin,amr__aminoglycoside_o-nucleotidylyltransferase_which_modifies_aminoglycosides_by_adenylylation.,2,0.027
ciprofloxacin,amr__aminoglycoside_o-phosphotransferase_aph3-ia,43,0.588
ciprofloxacin,amr__aminoglycoside_o-phosphotransferase_aph3-ib,307,4.198
ciprofloxacin,amr__aminoglycoside_o-phosphotransferase_aph3-iia,5,0.068
ciprofloxacin,amr__aminoglycoside_o-phosphotransferase_aph3-iiia,1,0.014
ciprofloxacin,amr__aminoglycoside_o-phosphotransferase_aph4-ia,2,0.027
ciprofloxacin,amr__aminoglycoside_o-phosphotransferase_aph6-id,303,4.143
ciprofloxacin,amr__aminoglycoside_o-phosphotransferase_which_modifies_aminoglycosides_by_phosphorylation.,2,0.027
ciprofloxacin,amr__aminoglycosides_efflux_system_acrad-tolc_inner-membrane_protondrug_antiporter_acrd_rnd_type,428,5.853
ciprofloxacin,amr__ampc,86,1.176
ciprofloxacin,amr__ampc_1,2,0.027
ciprofloxacin,amr__ampc_2,6,0.082
