antibiotic,feature,prevalence_resistant_pct,prevalence_susceptible_pct,difference_R_minus_S_pct_points,abs_difference_pct_points
ciprofloxacin,amr__escherichia_quinolone_resistant_gyra,22.853,1.153,21.699,21.699
ciprofloxacin,amr__escherichia_quinolone_resistant_parc,16.694,0.256,16.437,16.437
ciprofloxacin,amr__mpha,14.209,1.611,12.597,12.597
ciprofloxacin,amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,13.128,0.915,12.213,12.213
ciprofloxacin,amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,11.669,0.073,11.596,11.596
ciprofloxacin,amr__mrx,13.182,1.758,11.424,11.424
ciprofloxacin,amr__mdtm,30.47,19.462,11.008,11.008
ciprofloxacin,amr__sul1,14.641,3.918,10.723,10.723
ciprofloxacin,amr__teta,14.911,5.053,9.858,9.858
ciprofloxacin,amr__escherichia_quinolone_resistant_pare,10.751,1.19,9.561,9.561
ciprofloxacin,amr__aada5,10.373,1.52,8.853,8.853
ciprofloxacin,amr__dfra17,10.157,1.501,8.655,8.655
ciprofloxacin,amr__ctx-m-15,8.752,0.366,8.386,8.386
ciprofloxacin,amr__fola_dfr,19.935,12.706,7.229,7.229
ciprofloxacin,amr__vgac,8.806,1.849,6.957,6.957
ciprofloxacin,amr__catb3,6.969,0.037,6.933,6.933
ciprofloxacin,amr__aph3-ib,12.426,5.566,6.86,6.86
ciprofloxacin,amr__mpha_family_macrolide_2-phosphotransferase,7.347,0.897,6.45,6.45
ciprofloxacin,amr__multispecies_mpha_family_macrolide_2-phosphotransferase,7.239,1.044,6.196,6.196
ciprofloxacin,amr__aph6-id,12.048,6.023,6.024,6.024
ciprofloxacin,amr__ctx-m_family,6.645,0.641,6.004,6.004
ciprofloxacin,amr__multispecies_quaternary_ammonium_compound_efflux_smr_transporter_qace_delta_1,8.374,2.435,5.939,5.939
ciprofloxacin,amr__sul2,11.939,6.005,5.934,5.934
ciprofloxacin,amr__mpha_family,6.537,0.769,5.768,5.768
ciprofloxacin,amr__escherichia_fosfomycin_resistant_uhpt,8.32,2.673,5.647,5.647
ciprofloxacin,amr__tetb,7.996,2.38,5.616,5.616
ciprofloxacin,amr__quaternary_ammonium_compound_efflux_smr_transporter_qace_delta_1,7.672,2.27,5.401,5.401
ciprofloxacin,amr__multispecies_class_a_beta-lactamase_tem-156,6.267,1.044,5.223,5.223
ciprofloxacin,amr__multispecies_sulfonamide-resistant_dihydropteroate_synthase_sul1,7.726,2.563,5.162,5.162
ciprofloxacin,amr__acrab-tolc,33.495,28.36,5.136,5.136
ciprofloxacin,amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra17,6.051,0.915,5.135,5.135
ciprofloxacin,amr__oxa-1,5.294,0.165,5.13,5.13
ciprofloxacin,amr__translation_elongation_factor_tu,46.299,51.41,-5.11,5.11
ciprofloxacin,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,5.294,0.22,5.075,5.075
ciprofloxacin,amr__escherichia_fosfomycin_resistant_ptsi,5.348,0.531,4.818,4.818
ciprofloxacin,amr__ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada5,5.511,0.732,4.778,4.778
ciprofloxacin,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,4.862,0.11,4.752,4.752
ciprofloxacin,amr__tetr,7.239,2.508,4.731,4.731
