feature,gene,importance,abs_importance,importance_type,fold,rank,antibiotic,model,model_label
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.092568,0.092568,importancia_gini_bosque_aleatorio,1,1,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.062553,0.062553,importancia_gini_bosque_aleatorio,1,2,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,0.042822,0.042822,importancia_gini_bosque_aleatorio,1,3,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,0.038346,0.038346,importancia_gini_bosque_aleatorio,1,4,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mpha,mpha,0.029466,0.029466,importancia_gini_bosque_aleatorio,1,5,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mrx,mrx,0.025459,0.025459,importancia_gini_bosque_aleatorio,1,6,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,0.020318,0.020318,importancia_gini_bosque_aleatorio,1,7,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ctx-m-15,ctx-m-15,0.019474,0.019474,importancia_gini_bosque_aleatorio,1,8,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aada5,aada5,0.017638,0.017638,importancia_gini_bosque_aleatorio,1,9,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__dfra17,dfra17,0.015325,0.015325,importancia_gini_bosque_aleatorio,1,10,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__teta,teta,0.014715,0.014715,importancia_gini_bosque_aleatorio,1,11,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__sul1,sul1,0.013195,0.013195,importancia_gini_bosque_aleatorio,1,12,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ctx-m_family,ctx-m_family,0.012238,0.012238,importancia_gini_bosque_aleatorio,1,13,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__catb3,catb3,0.011719,0.011719,importancia_gini_bosque_aleatorio,1,14,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_mpha_family_macrolide_2-phosphotransferase,multispecies_mpha_family_macrolide_2-phosphotransferase,0.01134,0.01134,importancia_gini_bosque_aleatorio,1,15,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__vgac,vgac,0.011174,0.011174,importancia_gini_bosque_aleatorio,1,16,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.010201,0.010201,importancia_gini_bosque_aleatorio,1,17,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.009467,0.009467,importancia_gini_bosque_aleatorio,1,18,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,0.009163,0.009163,importancia_gini_bosque_aleatorio,1,19,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,0.008033,0.008033,importancia_gini_bosque_aleatorio,1,20,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.084196,0.084196,importancia_gini_bosque_aleatorio,2,1,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.058494,0.058494,importancia_gini_bosque_aleatorio,2,2,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,0.042684,0.042684,importancia_gini_bosque_aleatorio,2,3,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,0.041988,0.041988,importancia_gini_bosque_aleatorio,2,4,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mpha,mpha,0.03379,0.03379,importancia_gini_bosque_aleatorio,2,5,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mrx,mrx,0.024287,0.024287,importancia_gini_bosque_aleatorio,2,6,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,0.023047,0.023047,importancia_gini_bosque_aleatorio,2,7,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ctx-m-15,ctx-m-15,0.021415,0.021415,importancia_gini_bosque_aleatorio,2,8,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__sul1,sul1,0.017073,0.017073,importancia_gini_bosque_aleatorio,2,9,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ctx-m_family,ctx-m_family,0.015885,0.015885,importancia_gini_bosque_aleatorio,2,10,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
