antibiotic,model,feature,gene,selection_frequency,mean_rank,mean_abs_importance,mean_signed_importance,selection_fraction,model_label
ciprofloxacin,random_forest_balanced,amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,15,1.0,0.087431,0.087431,1.0,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,15,2.0,0.061602,0.061602,1.0,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,15,3.2,0.043851,0.043851,1.0,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,15,3.8,0.041651,0.041651,1.0,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__mpha,mpha,15,5.0,0.031017,0.031017,1.0,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__mrx,mrx,15,6.066667,0.026389,0.026389,1.0,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,15,7.133333,0.021499,0.021499,1.0,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__ctx-m-15,ctx-m-15,15,8.2,0.018956,0.018956,1.0,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__aada5,aada5,15,9.666667,0.016835,0.016835,1.0,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__sul1,sul1,15,10.866667,0.014929,0.014929,1.0,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__dfra17,dfra17,15,11.2,0.014712,0.014712,1.0,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__teta,teta,15,11.466667,0.01444,0.01444,1.0,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__ctx-m_family,ctx-m_family,15,13.266667,0.012678,0.012678,1.0,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__catb3,catb3,15,13.666667,0.01249,0.01249,1.0,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,15,16.066667,0.01078,0.01078,1.0,Bosque aleatorio balanceado
