feature,gene,importance,abs_importance,importance_type,antibiotic,model,model_label
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.089278,0.089278,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.059315,0.059315,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,0.045145,0.045145,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,0.042022,0.042022,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mpha,mpha,0.030674,0.030674,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mrx,mrx,0.026298,0.026298,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,0.022623,0.022623,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ctx-m-15,ctx-m-15,0.019701,0.019701,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aada5,aada5,0.017369,0.017369,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__dfra17,dfra17,0.015693,0.015693,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__sul1,sul1,0.015417,0.015417,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ctx-m_family,ctx-m_family,0.01366,0.01366,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__teta,teta,0.012545,0.012545,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__catb3,catb3,0.011892,0.011892,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,0.011298,0.011298,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.011031,0.011031,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_mpha_family_macrolide_2-phosphotransferase,multispecies_mpha_family_macrolide_2-phosphotransferase,0.009676,0.009676,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__vgac,vgac,0.009395,0.009395,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mpha_family_macrolide_2-phosphotransferase,mpha_family_macrolide_2-phosphotransferase,0.009191,0.009191,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.008759,0.008759,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mpha_family,mpha_family,0.007735,0.007735,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,0.007414,0.007414,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__tetb,tetb,0.007199,0.007199,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mefb,mefb,0.007033,0.007033,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aac3-iiiiiivviviiiixx,aac3-iiiiiivviviiiixx,0.006944,0.006944,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mdtm,mdtm,0.006899,0.006899,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_class_a_beta-lactamase_tem-156,multispecies_class_a_beta-lactamase_tem-156,0.00621,0.00621,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aac6-ib10,aac6-ib10,0.006145,0.006145,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__oxa-1,oxa-1,0.005963,0.005963,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__tem_family,tem_family,0.00545,0.00545,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aph3-ib,aph3-ib,0.005397,0.005397,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__type_b-3_chloramphenicol_o-acetyltransferase_catb3,type_b-3_chloramphenicol_o-acetyltransferase_catb3,0.005334,0.005334,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra17,multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra17,0.005301,0.005301,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__tetr,tetr,0.004903,0.004903,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_oxacillin-hydrolyzing_class_d_beta-lactamase_oxa-1,multispecies_oxacillin-hydrolyzing_class_d_beta-lactamase_oxa-1,0.004857,0.004857,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aph3-i,aph3-i,0.004613,0.004613,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aph6-id,aph6-id,0.00452,0.00452,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__sul2,sul2,0.00446,0.00446,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_fosfomycin_resistant_uhpt,escherichia_fosfomycin_resistant_uhpt,0.004438,0.004438,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,0.0044,0.0044,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aada2,aada2,0.004328,0.004328,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada5,ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada5,0.004135,0.004135,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__blaec,blaec,0.004035,0.004035,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__tetc,tetc,0.003969,0.003969,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada5,multispecies_ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada5,0.003657,0.003657,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_quaternary_ammonium_compound_efflux_smr_transporter_qace_delta_1,multispecies_quaternary_ammonium_compound_efflux_smr_transporter_qace_delta_1,0.003529,0.003529,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__translation_elongation_factor_tu,translation_elongation_factor_tu,0.003496,0.003496,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__quaternary_ammonium_compound_efflux_smr_transporter_qace_delta_1,quaternary_ammonium_compound_efflux_smr_transporter_qace_delta_1,0.003431,0.003431,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__tetracycline_efflux_mfs_transporter_teta,tetracycline_efflux_mfs_transporter_teta,0.003264,0.003264,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__fluoroquinolone-acetylating_aminoglycoside_6-n-acetyltransferase_aac6-ib-cr,fluoroquinolone-acetylating_aminoglycoside_6-n-acetyltransferase_aac6-ib-cr,0.00312,0.00312,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mara,mara,0.003034,0.003034,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__catb_family,catb_family,0.003013,0.003013,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__dfra12,dfra12,0.002925,0.002925,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__oxa-1_family_class_d_beta-lactamase,oxa-1_family_class_d_beta-lactamase,0.002887,0.002887,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mdtabc-tolc,mdtabc-tolc,0.00286,0.00286,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__acrab-tolc,acrab-tolc,0.002856,0.002856,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__h-ns,h-ns,0.002827,0.002827,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aac3-iid,aac3-iid,0.00278,0.00278,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__trimethoprim-resistant_dihydrofolate_reductase_dfra17,trimethoprim-resistant_dihydrofolate_reductase_dfra17,0.002737,0.002737,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_aminoglycoside_n-acetyltransferase_aac3-iia,multispecies_aminoglycoside_n-acetyltransferase_aac3-iia,0.002661,0.002661,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mdtg,mdtg,0.002655,0.002655,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__emrab-tolc,emrab-tolc,0.002606,0.002606,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_coli_uhpt_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_uhpt_with_mutation_conferring_resistance_to_fosfomycin,0.002591,0.002591,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mdtp,mdtp,0.002574,0.002574,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__fola_dfr,fola_dfr,0.002499,0.002499,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__tetracycline_efflux_mfs_transporter_tetb,tetracycline_efflux_mfs_transporter_tetb,0.00249,0.00249,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ef-tu,ef-tu,0.002484,0.002484,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__gyra,gyra,0.002473,0.002473,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__emrr,emrr,0.002462,0.002462,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__emrb,emrb,0.002444,0.002444,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__evgs,evgs,0.002442,0.002442,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__emry,emry,0.002421,0.002421,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__tolc,tolc,0.002407,0.002407,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__yoji,yoji,0.002406,0.002406,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__rpob,rpob,0.002392,0.002392,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__alr,alr,0.002386,0.002386,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__gyrb,gyrb,0.002383,0.002383,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__pmrf,pmrf,0.00237,0.00237,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mdte,mdte,0.00235,0.00235,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mdtc,mdtc,0.002348,0.002348,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mdto,mdto,0.002338,0.002338,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__baer,baer,0.00231,0.00231,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_tetracycline_efflux_mfs_transporter_teta,multispecies_tetracycline_efflux_mfs_transporter_teta,0.002308,0.002308,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__cpxa,cpxa,0.002306,0.002306,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__acrf,acrf,0.002286,0.002286,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__kdpe,kdpe,0.002275,0.002275,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__emrky-tolc,emrky-tolc,0.002272,0.002272,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__tem-1,tem-1,0.002268,0.002268,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__qace,qace,0.002257,0.002257,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mdtl,mdtl,0.002255,0.002255,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__gadx,gadx,0.002255,0.002255,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__evga,evga,0.002235,0.002235,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__acrd,acrd,0.002233,0.002233,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__acre,acre,0.002224,0.002224,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__gadw,gadw,0.002215,0.002215,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__emra,emra,0.002198,0.002198,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mdtf,mdtf,0.002193,0.002193,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__emrk,emrk,0.002192,0.002192,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mdtb,mdtb,0.002189,0.002189,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__baca,baca,0.002188,0.002188,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aminoglycoside_n-acetyltransferase_aac3-iid,aminoglycoside_n-acetyltransferase_aac3-iid,0.002186,0.002186,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__acrb,acrb,0.002175,0.002175,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__acrs,acrs,0.002171,0.002171,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__folp,folp,0.002155,0.002155,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mdtn,mdtn,0.002142,0.002142,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__msba,msba,0.002113,0.002113,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__crp,crp,0.002089,0.002089,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__gade,gade,0.002085,0.002085,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mura,mura,0.002083,0.002083,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mdth,mdth,0.002074,0.002074,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mdta,mdta,0.002033,0.002033,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__marr,marr,0.002018,0.002018,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__qacedelta1,qacedelta1,0.002008,0.002008,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__vang,vang,0.001985,0.001985,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__emrd,emrd,0.001943,0.001943,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aminoglycoside_n-acetyltransferase_aac3-iie,aminoglycoside_n-acetyltransferase_aac3-iie,0.001938,0.001938,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ddl,ddl,0.001905,0.001905,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__acref-tolc,acref-tolc,0.001902,0.001902,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_sulfonamide-resistant_dihydropteroate_synthase_sul1,multispecies_sulfonamide-resistant_dihydropteroate_synthase_sul1,0.001901,0.001901,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__leuo,leuo,0.001876,0.001876,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mdtef-tolc,mdtef-tolc,0.001835,0.001835,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__emre,emre,0.001764,0.001764,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aph6-icaph6-id,aph6-icaph6-id,0.001715,0.001715,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aac6-ib-cr,aac6-ib-cr,0.001706,0.001706,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__oxa-1_family,oxa-1_family,0.001706,0.001706,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__sul3,sul3,0.001698,0.001698,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__s10p,s10p,0.001682,0.001682,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_aminoglycoside_o-phosphotransferase_aph3-ib,multispecies_aminoglycoside_o-phosphotransferase_aph3-ib,0.001639,0.001639,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_coli_acra,escherichia_coli_acra,0.001615,0.001615,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__flor,flor,0.001595,0.001595,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__arnt,arnt,0.001582,0.001582,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__rsma,rsma,0.001568,0.001568,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__dfra14,dfra14,0.001554,0.001554,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_fosfomycin_resistant_glpt,escherichia_fosfomycin_resistant_glpt,0.001533,0.001533,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__trimethoprim-resistant_dihydrofolate_reductase_dfra14,trimethoprim-resistant_dihydrofolate_reductase_dfra14,0.001528,0.001528,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ef-g,ef-g,0.0015,0.0015,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_class_a_broad-spectrum_beta-lactamase_tem-1,multispecies_class_a_broad-spectrum_beta-lactamase_tem-1,0.001482,0.001482,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_coli_acrab-tolc_with_marr_mutations_conferring_resistance_to_ciprofloxacin_and_tetracycline,escherichia_coli_acrab-tolc_with_marr_mutations_conferring_resistance_to_ciprofloxacin_and_tetracycline,0.001482,0.001482,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mdti,mdti,0.001478,0.001478,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_coli_mdfa,escherichia_coli_mdfa,0.001471,0.001471,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-27,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-27,0.00147,0.00147,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__pare,pare,0.001465,0.001465,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__arna,arna,0.001454,0.001454,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__soxr,soxr,0.001448,0.001448,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__mfd,mfd,0.001448,0.001448,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__macb,macb,0.001421,0.001421,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_coli_acrab-tolc_with_acrr_mutation_conferring_resistance_to_ciprofloxacin_tetracycline_and_ceftazidime,escherichia_coli_acrab-tolc_with_acrr_mutation_conferring_resistance_to_ciprofloxacin_tetracycline_and_ceftazidime,0.00142,0.00142,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
