feature,gene,importance,abs_importance,importance_type,antibiotic,model
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.8254,0.8254,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,0.7965,0.7965,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.6867,0.6867,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,0.4454,0.4454,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__catb3,catb3,0.3683,0.3683,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,0.318,0.318,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__blaec,blaec,0.2711,0.2711,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.2699,0.2699,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.2322,0.2322,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ctx-m-15,ctx-m-15,0.2261,0.2261,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__aminoglycoside_n-acetyltransferase_aac3-iie,aminoglycoside_n-acetyltransferase_aac3-iie,0.2166,0.2166,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__vgac,vgac,0.211,0.211,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,0.2087,0.2087,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
amr__ctx-m_family,ctx-m_family,0.1929,0.1929,absolute_logistic_coefficient,ciprofloxacin,logistic_regression_balanced
