feature,gene,importance,abs_importance,importance_type,fold,rank,antibiotic,model
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.8358,0.8358,absolute_logistic_coefficient,1,1,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,0.7642,0.7642,absolute_logistic_coefficient,1,2,ciprofloxacin,logistic_regression_balanced
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.7272,0.7272,absolute_logistic_coefficient,1,3,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,0.4162,0.4162,absolute_logistic_coefficient,1,4,ciprofloxacin,logistic_regression_balanced
amr__catb3,catb3,0.3919,0.3919,absolute_logistic_coefficient,1,5,ciprofloxacin,logistic_regression_balanced
amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,0.3275,0.3275,absolute_logistic_coefficient,1,6,ciprofloxacin,logistic_regression_balanced
amr__blaec,blaec,0.2889,0.2889,absolute_logistic_coefficient,1,7,ciprofloxacin,logistic_regression_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.2732,0.2732,absolute_logistic_coefficient,1,8,ciprofloxacin,logistic_regression_balanced
amr__ctx-m-15,ctx-m-15,0.2692,0.2692,absolute_logistic_coefficient,1,9,ciprofloxacin,logistic_regression_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.2525,0.2525,absolute_logistic_coefficient,1,10,ciprofloxacin,logistic_regression_balanced
amr__aac6-ib10,aac6-ib10,0.2442,0.2442,absolute_logistic_coefficient,1,11,ciprofloxacin,logistic_regression_balanced
amr__vgac,vgac,0.2385,0.2385,absolute_logistic_coefficient,1,12,ciprofloxacin,logistic_regression_balanced
amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,0.2197,0.2197,absolute_logistic_coefficient,1,13,ciprofloxacin,logistic_regression_balanced
amr__catb_family,catb_family,0.2163,0.2163,absolute_logistic_coefficient,1,14,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,0.2114,0.2114,absolute_logistic_coefficient,1,15,ciprofloxacin,logistic_regression_balanced
amr__aminoglycoside_n-acetyltransferase_aac3-iie,aminoglycoside_n-acetyltransferase_aac3-iie,0.2106,0.2106,absolute_logistic_coefficient,1,16,ciprofloxacin,logistic_regression_balanced
amr__escherichia_fosfomycin_resistant_uhpt,escherichia_fosfomycin_resistant_uhpt,0.203,0.203,absolute_logistic_coefficient,1,17,ciprofloxacin,logistic_regression_balanced
amr__tem_family,tem_family,0.1966,0.1966,absolute_logistic_coefficient,1,18,ciprofloxacin,logistic_regression_balanced
