antibiotic,model,feature,gene,selection_frequency,mean_rank,mean_abs_importance,mean_signed_importance
ciprofloxacin,logistic_regression_balanced,amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,3,1.3333,0.7981,0.7981
ciprofloxacin,logistic_regression_balanced,amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,3,1.6667,0.7644,0.7644
ciprofloxacin,logistic_regression_balanced,amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,3,3.0,0.7007,0.7007
ciprofloxacin,logistic_regression_balanced,amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,3,4.0,0.4505,0.4505
ciprofloxacin,logistic_regression_balanced,amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,3,6.0,0.3234,0.3234
ciprofloxacin,logistic_regression_balanced,amr__catb3,catb3,3,6.0,0.3199,0.3199
ciprofloxacin,logistic_regression_balanced,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,3,10.0,0.238,0.238
ciprofloxacin,logistic_regression_balanced,amr__ctx-m-15,ctx-m-15,3,12.3333,0.226,0.226
ciprofloxacin,logistic_regression_balanced,amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,3,14.0,0.2051,0.2051
ciprofloxacin,logistic_regression_balanced,amr__vgac,vgac,3,14.6667,0.2078,0.2078
ciprofloxacin,logistic_regression_balanced,amr__blaec,blaec,2,6.5,0.2912,0.2912
ciprofloxacin,logistic_regression_balanced,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,2,7.0,0.3086,0.3086
ciprofloxacin,logistic_regression_balanced,amr__aminoglycoside_n-acetyltransferase_aac3-iie,aminoglycoside_n-acetyltransferase_aac3-iie,2,12.5,0.2373,0.2373
ciprofloxacin,logistic_regression_balanced,amr__escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,2,13.0,0.2222,0.2222
ciprofloxacin,logistic_regression_balanced,amr__mpha,mpha,2,13.0,0.2051,0.2051
ciprofloxacin,logistic_regression_balanced,amr__catb_family,catb_family,2,15.5,0.1986,0.1986
ciprofloxacin,logistic_regression_balanced,amr__type_b-3_chloramphenicol_o-acetyltransferase_catb3,type_b-3_chloramphenicol_o-acetyltransferase_catb3,2,18.0,0.1938,0.1938
ciprofloxacin,logistic_regression_balanced,amr__aminoglycoside_n3-acetyltransferase_ec_2.3.1.81_aac3-iiiiiivviviiiixx,aminoglycoside_n3-acetyltransferase_ec_2.3.1.81_aac3-iiiiiivviviiiixx,1,7.0,0.22,0.22
ciprofloxacin,logistic_regression_balanced,amr__ctx-m_family,ctx-m_family,1,8.0,0.3105,0.3105
ciprofloxacin,logistic_regression_balanced,amr__aac6-ib10,aac6-ib10,1,11.0,0.2442,0.2442
ciprofloxacin,logistic_regression_balanced,amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra14,multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra14,1,12.0,0.2211,0.2211
ciprofloxacin,logistic_regression_balanced,amr__mefb,mefb,1,12.0,0.197,0.197
ciprofloxacin,logistic_regression_balanced,amr__multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,1,13.0,0.2205,0.2205
ciprofloxacin,logistic_regression_balanced,amr__escherichia_coli_acra,escherichia_coli_acra,1,15.0,0.189,-0.189
ciprofloxacin,logistic_regression_balanced,amr__escherichia_coli_acrab-tolc_with_marr_mutations_conferring_resistance_to_ciprofloxacin_and_tetracycline,escherichia_coli_acrab-tolc_with_marr_mutations_conferring_resistance_to_ciprofloxacin_and_tetracycline,1,16.0,0.1859,-0.1859
ciprofloxacin,logistic_regression_balanced,amr__escherichia_fosfomycin_resistant_uhpt,escherichia_fosfomycin_resistant_uhpt,1,17.0,0.203,0.203
ciprofloxacin,logistic_regression_balanced,amr__mdti,mdti,1,17.0,0.1935,0.1935
ciprofloxacin,logistic_regression_balanced,amr__tem_family,tem_family,1,18.0,0.1966,0.1966
ciprofloxacin,logistic_regression_balanced,amr__multispecies_class_a_beta-lactamase_tem-156,multispecies_class_a_beta-lactamase_tem-156,1,18.0,0.1934,0.1934
ciprofloxacin,logistic_regression_balanced,amr__aac3-iiiiiivviviiiixx,aac3-iiiiiivviviiiixx,1,18.0,0.1743,0.1743
ciprofloxacin,logistic_regression_balanced,amr__aada5,aada5,1,19.0,0.188,0.188
ciprofloxacin,logistic_regression_balanced,amr__mrx,mrx,1,19.0,0.173,0.173
ciprofloxacin,logistic_regression_balanced,amr__tem-141,tem-141,1,20.0,0.1655,0.1655
ciprofloxacin,random_forest_balanced,amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,3,1.0,0.0699,0.0699
ciprofloxacin,random_forest_balanced,amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,3,2.0,0.0498,0.0498
ciprofloxacin,random_forest_balanced,amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,3,3.3333,0.0346,0.0346
ciprofloxacin,random_forest_balanced,amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,3,3.6667,0.0339,0.0339
