antibiotic,model,feature,gene,selection_frequency,mean_rank,mean_abs_importance,mean_signed_importance
ciprofloxacin,logistic_regression_balanced,amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,3,1.3333333333333333,0.7981047345657979,0.7981047345657979
ciprofloxacin,logistic_regression_balanced,amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,3,1.6666666666666667,0.764424730561791,0.764424730561791
ciprofloxacin,logistic_regression_balanced,amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,3,3.0,0.7007318285791492,0.7007318285791492
ciprofloxacin,logistic_regression_balanced,amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,3,4.0,0.45054395943490216,0.45054395943490216
ciprofloxacin,logistic_regression_balanced,amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,3,6.0,0.3234124325349244,0.3234124325349244
ciprofloxacin,logistic_regression_balanced,amr__catb3,catb3,3,6.0,0.31987877299513895,0.31987877299513895
ciprofloxacin,logistic_regression_balanced,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,3,10.0,0.23799656506416014,0.23799656506416014
ciprofloxacin,logistic_regression_balanced,amr__ctx-m-15,ctx-m-15,3,12.333333333333334,0.22601948847377343,0.22601948847377343
ciprofloxacin,logistic_regression_balanced,amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,3,14.0,0.20508342437340502,0.20508342437340502
ciprofloxacin,logistic_regression_balanced,amr__vgac,vgac,3,14.666666666666666,0.20780536171944816,0.20780536171944816
ciprofloxacin,logistic_regression_balanced,amr__blaec,blaec,2,6.5,0.2912447586103712,0.2912447586103712
ciprofloxacin,logistic_regression_balanced,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,2,7.0,0.3086457645979104,0.3086457645979104
ciprofloxacin,logistic_regression_balanced,amr__aminoglycoside_n-acetyltransferase_aac3-iie,aminoglycoside_n-acetyltransferase_aac3-iie,2,12.5,0.23725567612802906,0.23725567612802906
ciprofloxacin,logistic_regression_balanced,amr__escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,2,13.0,0.2222189637448645,0.2222189637448645
ciprofloxacin,logistic_regression_balanced,amr__mpha,mpha,2,13.0,0.20505379137964055,0.20505379137964055
ciprofloxacin,logistic_regression_balanced,amr__catb_family,catb_family,2,15.5,0.19859908971260165,0.19859908971260165
ciprofloxacin,logistic_regression_balanced,amr__type_b-3_chloramphenicol_o-acetyltransferase_catb3,type_b-3_chloramphenicol_o-acetyltransferase_catb3,2,18.0,0.19377279605655123,0.19377279605655123
ciprofloxacin,logistic_regression_balanced,amr__aminoglycoside_n3-acetyltransferase_ec_2.3.1.81_aac3-iiiiiivviviiiixx,aminoglycoside_n3-acetyltransferase_ec_2.3.1.81_aac3-iiiiiivviviiiixx,1,7.0,0.2200390133890143,0.2200390133890143
ciprofloxacin,logistic_regression_balanced,amr__ctx-m_family,ctx-m_family,1,8.0,0.31051595978207674,0.31051595978207674
ciprofloxacin,logistic_regression_balanced,amr__aac6-ib10,aac6-ib10,1,11.0,0.24421159509897616,0.24421159509897616
ciprofloxacin,logistic_regression_balanced,amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra14,multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra14,1,12.0,0.22105716042326687,0.22105716042326687
ciprofloxacin,logistic_regression_balanced,amr__mefb,mefb,1,12.0,0.19699798524286405,0.19699798524286405
ciprofloxacin,logistic_regression_balanced,amr__multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,1,13.0,0.22051684982006178,0.22051684982006178
ciprofloxacin,logistic_regression_balanced,amr__escherichia_coli_acra,escherichia_coli_acra,1,15.0,0.18899691870971252,-0.18899691870971252
ciprofloxacin,logistic_regression_balanced,amr__escherichia_coli_acrab-tolc_with_marr_mutations_conferring_resistance_to_ciprofloxacin_and_tetracycline,escherichia_coli_acrab-tolc_with_marr_mutations_conferring_resistance_to_ciprofloxacin_and_tetracycline,1,16.0,0.18590676633176842,-0.18590676633176842
cefotaxime,logistic_regression_balanced,amr__ctx-m_family,ctx-m_family,3,1.6666666666666667,0.6428476926963588,0.6428476926963588
cefotaxime,logistic_regression_balanced,amr__ctx-m-15,ctx-m-15,3,1.6666666666666667,0.6406070753502725,0.6406070753502725
cefotaxime,logistic_regression_balanced,amr__cmy-2,cmy-2,3,3.3333333333333335,0.5105500890556883,0.5105500890556883
cefotaxime,logistic_regression_balanced,amr__ctx-m-14,ctx-m-14,3,5.0,0.47521473003712095,0.47521473003712095
cefotaxime,logistic_regression_balanced,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,3,5.0,0.4599280679851601,0.4599280679851601
cefotaxime,logistic_regression_balanced,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,3,6.666666666666667,0.45218669087649177,0.45218669087649177
cefotaxime,logistic_regression_balanced,amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,3,6.666666666666667,0.44428476014371937,0.44428476014371937
cefotaxime,logistic_regression_balanced,amr__class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,3,7.666666666666667,0.3837836082936283,0.3837836082936283
cefotaxime,logistic_regression_balanced,amr__extended-spectrum_class_c_beta-lactamase_cmy-2,extended-spectrum_class_c_beta-lactamase_cmy-2,3,8.666666666666666,0.3780472287021622,0.3780472287021622
cefotaxime,logistic_regression_balanced,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,3,9.0,0.36543949624253597,0.36543949624253597
cefotaxime,logistic_regression_balanced,amr__cmycmy-2cfelat_family,cmycmy-2cfelat_family,3,10.666666666666666,0.35606418493564096,0.35606418493564096
cefotaxime,logistic_regression_balanced,amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,3,13.0,0.271918697879217,0.271918697879217
cefotaxime,logistic_regression_balanced,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-14,extended-spectrum_class_a_beta-lactamase_ctx-m-14,3,14.666666666666666,0.24160378318040546,0.24160378318040546
cefotaxime,logistic_regression_balanced,amr__qnrs1,qnrs1,2,13.5,0.2673664427946596,0.2673664427946596
cefotaxime,logistic_regression_balanced,amr__ctx-m-55,ctx-m-55,2,15.5,0.23478428885226837,0.23478428885226837
cefotaxime,logistic_regression_balanced,amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,2,17.5,0.2107253706314014,0.2107253706314014
cefotaxime,logistic_regression_balanced,amr__multispecies_class_a_beta-lactamase_tem-156,multispecies_class_a_beta-lactamase_tem-156,2,19.5,0.19895278821834916,0.19895278821834916
cefotaxime,logistic_regression_balanced,amr__multidrug_resistance_protein_mdth,multidrug_resistance_protein_mdth,1,12.0,0.29936936181741824,-0.29936936181741824
cefotaxime,logistic_regression_balanced,amr__multidrug_resistance_protein_mdtg,multidrug_resistance_protein_mdtg,1,12.0,0.2871642404764159,-0.2871642404764159
cefotaxime,logistic_regression_balanced,amr__multidrug_efflux_system_mdtef-tolc_inner-membrane_protondrug_antiporter_mdtf_rnd_type,multidrug_efflux_system_mdtef-tolc_inner-membrane_protondrug_antiporter_mdtf_rnd_type,1,15.0,0.2539291416615863,-0.2539291416615863
cefotaxime,logistic_regression_balanced,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-55,extended-spectrum_class_a_beta-lactamase_ctx-m-55,1,15.0,0.23853260478703014,0.23853260478703014
cefotaxime,logistic_regression_balanced,amr__undecaprenyl-diphosphatase_bcrc_ec_3.6.1.27_conveys_bacitracin_resistance,undecaprenyl-diphosphatase_bcrc_ec_3.6.1.27_conveys_bacitracin_resistance,1,16.0,0.23003667913632428,-0.23003667913632428
cefotaxime,logistic_regression_balanced,amr__multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,1,16.0,0.21298203957553186,0.21298203957553186
cefotaxime,logistic_regression_balanced,amr__ctx-m-27,ctx-m-27,1,17.0,0.21987330601173588,0.21987330601173588
cefotaxime,logistic_regression_balanced,amr__response_regulator_baer,response_regulator_baer,1,18.0,0.21750604887050815,-0.21750604887050815
