feature,gene,importance,abs_importance,importance_type,fold,rank,antibiotic,model,model_label
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.854214,0.854214,coeficiente_logistico_absoluto,1,1,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,0.767519,0.767519,coeficiente_logistico_absoluto,1,2,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.733708,0.733708,coeficiente_logistico_absoluto,1,3,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,0.430935,0.430935,coeficiente_logistico_absoluto,1,4,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__catb3,catb3,0.39822,0.39822,coeficiente_logistico_absoluto,1,5,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,0.313125,0.313125,coeficiente_logistico_absoluto,1,6,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__blaec,blaec,0.277896,0.277896,coeficiente_logistico_absoluto,1,7,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.259072,0.259072,coeficiente_logistico_absoluto,1,8,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-15,ctx-m-15,0.258971,0.258971,coeficiente_logistico_absoluto,1,9,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.256475,0.256475,coeficiente_logistico_absoluto,1,10,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__aac6-ib10,aac6-ib10,0.249951,0.249951,coeficiente_logistico_absoluto,1,11,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__catb_family,catb_family,0.235117,0.235117,coeficiente_logistico_absoluto,1,12,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__aminoglycoside_n-acetyltransferase_aac3-iie,aminoglycoside_n-acetyltransferase_aac3-iie,0.225264,0.225264,coeficiente_logistico_absoluto,1,13,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__vgac,vgac,0.221621,0.221621,coeficiente_logistico_absoluto,1,14,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__chloramphenicol_o-acetyltransferase_ec_2.3.1.28_catb_family,chloramphenicol_o-acetyltransferase_ec_2.3.1.28_catb_family,0.201734,0.201734,coeficiente_logistico_absoluto,1,15,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__h-ns,h-ns,-0.199192,0.199192,coeficiente_logistico_absoluto,1,16,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,0.196512,0.196512,coeficiente_logistico_absoluto,1,17,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,0.196136,0.196136,coeficiente_logistico_absoluto,1,18,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__type_b-3_chloramphenicol_o-acetyltransferase_catb3,type_b-3_chloramphenicol_o-acetyltransferase_catb3,0.185673,0.185673,coeficiente_logistico_absoluto,1,19,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__csra,csra,0.182906,0.182906,coeficiente_logistico_absoluto,1,20,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.780262,0.780262,coeficiente_logistico_absoluto,2,1,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,0.771556,0.771556,coeficiente_logistico_absoluto,2,2,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.663657,0.663657,coeficiente_logistico_absoluto,2,3,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,0.448051,0.448051,coeficiente_logistico_absoluto,2,4,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__catb3,catb3,0.346773,0.346773,coeficiente_logistico_absoluto,2,5,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__blaec,blaec,0.307415,0.307415,coeficiente_logistico_absoluto,2,6,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.301156,0.301156,coeficiente_logistico_absoluto,2,7,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,0.298643,0.298643,coeficiente_logistico_absoluto,2,8,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-15,ctx-m-15,0.241185,0.241185,coeficiente_logistico_absoluto,2,9,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,0.230919,0.230919,coeficiente_logistico_absoluto,2,10,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__aac3-iiiiiivviviiiixx,aac3-iiiiiivviviiiixx,0.224969,0.224969,coeficiente_logistico_absoluto,2,11,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
