antibiotic,model,model_label,feature,gene,selection_frequency,mean_rank,mean_abs_importance,mean_signed_importance,selection_fraction
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,15,1.2,0.812164,0.812164,1.0
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,15,1.866667,0.784133,0.784133,1.0
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,15,2.933333,0.691956,0.691956,1.0
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,15,4.0,0.449744,0.449744,1.0
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__catb3,catb3,15,5.333333,0.350012,0.350012,1.0
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,15,5.866667,0.317047,0.317047,1.0
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,15,9.133333,0.254933,0.254933,1.0
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__blaec,blaec,15,9.4,0.254733,0.254733,1.0
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,14,10.642857,0.234347,0.234347,0.933333
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__ctx-m-15,ctx-m-15,14,10.714286,0.231159,0.231159,0.933333
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,13,12.153846,0.21353,0.21353,0.866667
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__vgac,vgac,13,12.769231,0.213028,0.213028,0.866667
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__aminoglycoside_n-acetyltransferase_aac3-iie,aminoglycoside_n-acetyltransferase_aac3-iie,13,13.153846,0.211533,0.211533,0.866667
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__ctx-m_family,ctx-m_family,12,14.5,0.199421,0.199421,0.8
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__catb_family,catb_family,9,14.333333,0.201018,0.201018,0.6
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__aac6-ib10,aac6-ib10,7,14.857143,0.201381,0.201381,0.466667
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_fosfomycin_resistant_uhpt,escherichia_fosfomycin_resistant_uhpt,7,14.857143,0.193838,0.193838,0.466667
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__mpha,mpha,7,17.142857,0.182815,0.182815,0.466667
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,6,13.333333,0.210496,0.210496,0.4
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,6,14.333333,0.198659,0.198659,0.4
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__chloramphenicol_o-acetyltransferase_ec_2.3.1.28_catb_family,chloramphenicol_o-acetyltransferase_ec_2.3.1.28_catb_family,6,15.666667,0.194737,0.194737,0.4
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__aac3-iiiiiivviviiiixx,aac3-iiiiiivviviiiixx,5,13.6,0.209608,0.209608,0.333333
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__type_b-3_chloramphenicol_o-acetyltransferase_catb3,type_b-3_chloramphenicol_o-acetyltransferase_catb3,5,14.8,0.203104,0.203104,0.333333
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__aada5,aada5,5,17.6,0.185331,0.185331,0.333333
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__mefb,mefb,4,15.5,0.192038,0.192038,0.266667
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_class_a_beta-lactamase_tem-156,multispecies_class_a_beta-lactamase_tem-156,4,16.75,0.179872,0.179872,0.266667
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__mrx,mrx,3,13.666667,0.194591,0.194591,0.2
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__mphb_family_macrolide_2-phosphotransferase,mphb_family_macrolide_2-phosphotransferase,3,15.0,0.187808,-0.187808,0.2
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_coli_acrab-tolc_with_marr_mutations_conferring_resistance_to_ciprofloxacin_and_tetracycline,escherichia_coli_acrab-tolc_with_marr_mutations_conferring_resistance_to_ciprofloxacin_and_tetracycline,3,17.333333,0.184672,-0.184672,0.2
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-27,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-27,3,18.0,0.180167,0.180167,0.2
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__aminoglycoside_n3-acetyltransferase_ec_2.3.1.81_aac3-iiiiiivviviiiixx,aminoglycoside_n3-acetyltransferase_ec_2.3.1.81_aac3-iiiiiivviviiiixx,2,15.0,0.193181,0.193181,0.133333
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_tetracycline_efflux_mfs_transporter_tetd,multispecies_tetracycline_efflux_mfs_transporter_tetd,2,15.5,0.179764,-0.179764,0.133333
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__tetb,tetb,2,19.5,0.184607,0.184607,0.133333
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__tem_family,tem_family,1,14.0,0.196739,0.196739,0.066667
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__h-ns,h-ns,1,16.0,0.199192,-0.199192,0.066667
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__emrb_2,emrb_2,1,16.0,0.192297,-0.192297,0.066667
