antibiotic,model,model_label,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logisticregression__solver,param_logisticregression__penalty,param_logisticregression__C,param_logisticregression__l1_ratio,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,split7_test_balanced_accuracy,split8_test_balanced_accuracy,split9_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_features,param_max_depth,param_class_weight,param_bootstrap,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_learning_rate,param_gamma,param_colsample_bytree
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,11.94376,4.436907,0.034247,0.020188,saga,l1,0.1,,"{'logisticregression__solver': 'saga', 'logisticregression__penalty': 'l1', 'logisticregression__C': 0.1}",0.850076,0.821332,0.867103,0.847215,0.850515,0.829288,0.848441,0.838278,0.841058,0.861727,0.845503,0.013063,1,0.911134,0.883315,0.940105,0.905421,0.920762,0.902317,0.910237,0.907999,0.920902,0.905728,0.910792,0.013966,3,0.768473,0.731544,0.797997,0.762215,0.776471,0.745763,0.77,0.755853,0.757025,0.789386,0.765473,0.018693,2,0.790541,0.736486,0.807432,0.790541,0.777778,0.743243,0.780405,0.763514,0.773649,0.801347,0.776494,0.022066,1,,,,,,,,,,,,,,,
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,0.200408,0.018901,0.04272,0.008296,liblinear,l1,0.01,,"{'logisticregression__solver': 'liblinear', 'logisticregression__penalty': 'l1', 'logisticregression__C': 0.01}",0.844544,0.815855,0.869527,0.833238,0.846211,0.833346,0.846342,0.840594,0.834436,0.858569,0.842266,0.014032,3,0.904273,0.888332,0.936333,0.90878,0.927621,0.913648,0.913061,0.90642,0.919309,0.923666,0.914144,0.012825,1,0.76819,0.733333,0.813913,0.751269,0.781086,0.758261,0.777778,0.762712,0.757315,0.797227,0.770108,0.022143,1,0.766892,0.706081,0.790541,0.75,0.750842,0.736486,0.756757,0.760135,0.743243,0.774411,0.753539,0.021693,5,,,,,,,,,,,,,,,
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,21.168482,4.341152,0.043686,0.007441,saga,elasticnet,0.1,0.7,"{'logisticregression__solver': 'saga', 'logisticregression__penalty': 'elasticnet', 'logisticregression__l1_ratio': 0.7, 'logisticregression__C': 0.1}",0.849504,0.819643,0.858657,0.839287,0.849405,0.820815,0.847869,0.836562,0.84163,0.858326,0.84217,0.012942,4,0.9081,0.879488,0.938188,0.90016,0.915162,0.901339,0.906739,0.902058,0.918111,0.900367,0.906971,0.014381,4,0.767213,0.729412,0.787879,0.75,0.775717,0.733447,0.768719,0.75208,0.758278,0.783471,0.760621,0.018724,4,0.790541,0.733108,0.790541,0.780405,0.774411,0.72973,0.780405,0.763514,0.773649,0.79798,0.771428,0.022092,3,,,,,,,,,,,,,,,
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,0.203122,0.020861,0.037388,0.004543,liblinear,l1,0.1,,"{'logisticregression__solver': 'liblinear', 'logisticregression__penalty': 'l1', 'logisticregression__C': 0.1}",0.849504,0.823594,0.866531,0.846643,0.849943,0.827026,0.846751,0.837161,0.840486,0.8623,0.844994,0.012948,2,0.911393,0.883813,0.940241,0.905405,0.92055,0.901942,0.910005,0.908084,0.920732,0.906137,0.91083,0.013879,2,0.767213,0.734899,0.796667,0.760976,0.775168,0.742373,0.767947,0.755034,0.755776,0.790698,0.764675,0.018433,3,0.790541,0.739865,0.807432,0.790541,0.777778,0.739865,0.777027,0.760135,0.773649,0.801347,0.775818,0.022194,2,,,,,,,,,,,,,,,
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,26.571026,6.702595,0.036602,0.011991,saga,elasticnet,0.3,0.85,"{'logisticregression__solver': 'saga', 'logisticregression__penalty': 'elasticnet', 'logisticregression__l1_ratio': 0.85, 'logisticregression__C': 0.3}",0.844927,0.828008,0.845008,0.833594,0.839807,0.819643,0.842229,0.824139,0.845526,0.848155,0.837104,0.009583,5,0.900566,0.870222,0.928474,0.887895,0.902874,0.894404,0.896975,0.885692,0.910747,0.885626,0.896348,0.015121,5,0.757282,0.735294,0.762376,0.73955,0.760943,0.729412,0.761269,0.734558,0.760196,0.76771,0.750859,0.013605,5,0.790541,0.760135,0.780405,0.777027,0.760943,0.733108,0.77027,0.743243,0.787162,0.784512,0.768735,0.018235,4,,,,,,,,,,,,,,,
ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado,2.188365,0.071141,0.195337,0.019278,,,,,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_samples': 0.7, 'max_features': 'log2', 'max_depth': 10, 'class_weight': 'balanced_subsample', 'bootstrap': True}",0.825747,0.80008,0.841765,0.817355,0.827589,0.81749,0.820977,0.815666,0.829833,0.82115,0.821765,0.0103,5,0.902441,0.89965,0.9236,0.90166,0.907109,0.902731,0.907678,0.911961,0.913384,0.908212,0.907842,0.006763,5,0.732026,0.711744,0.767123,0.724541,0.751748,0.732297,0.743363,0.722408,0.745363,0.731219,0.736183,0.015215,5,0.756757,0.675676,0.756757,0.733108,0.723906,0.716216,0.709459,0.72973,0.746622,0.737374,0.72856,0.023134,4,500.0,10.0,8.0,0.7,log2,10,balanced_subsample,True,,,,,,,
ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado,96.300747,10.586697,0.517695,0.059589,,,,,"{'n_estimators': 800, 'min_samples_split': 6, 'min_samples_leaf': 8, 'max_samples': 0.85, 'max_features': 0.5, 'max_depth': None, 'class_weight': 'balanced', 'bootstrap': True}",0.842693,0.811742,0.855851,0.831904,0.831997,0.825283,0.830405,0.830351,0.842747,0.838696,0.834167,0.011213,3,0.90471,0.899785,0.926928,0.90873,0.914024,0.896546,0.903357,0.915398,0.916553,0.921174,0.91072,0.009239,4,0.7557,0.718381,0.78511,0.73752,0.753425,0.737018,0.746622,0.743333,0.759076,0.760135,0.749632,0.016854,4,0.783784,0.719595,0.783784,0.773649,0.740741,0.743243,0.746622,0.753378,0.777027,0.757576,0.75794,0.020194,3,800.0,6.0,8.0,0.85,0.5,,balanced,True,,,,,,,
ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado,12.350601,0.652925,0.563509,0.05436,,,,,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_samples': 0.85, 'max_features': 'sqrt', 'max_depth': 50, 'class_weight': 'balanced', 'bootstrap': True}",0.845855,0.822941,0.862391,0.841958,0.849266,0.839233,0.846098,0.834085,0.845936,0.84963,0.843739,0.009886,2,0.911111,0.906352,0.934616,0.912746,0.919392,0.908393,0.911262,0.920832,0.919217,0.925378,0.91693,0.00824,3,0.746914,0.729064,0.778309,0.744914,0.768473,0.746795,0.761438,0.736177,0.751572,0.759494,0.752315,0.014098,3,0.817568,0.75,0.824324,0.804054,0.787879,0.787162,0.787162,0.787162,0.807432,0.808081,0.796082,0.020063,1,800.0,2.0,8.0,0.85,sqrt,50,balanced,True,,,,,,,
ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado,10.258679,1.137532,0.405088,0.043176,,,,,"{'n_estimators': 500, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_samples': None, 'max_features': 'sqrt', 'max_depth': 50, 'class_weight': 'balanced', 'bootstrap': True}",0.849612,0.827734,0.855986,0.83836,0.848433,0.841247,0.843563,0.838932,0.843999,0.862977,0.845084,0.009344,1,0.920801,0.919634,0.943317,0.925119,0.932529,0.918212,0.922823,0.931876,0.930585,0.939028,0.928392,0.00806,1,0.774411,0.752197,0.795096,0.761092,0.782609,0.769497,0.776801,0.762393,0.768707,0.797963,0.774077,0.013879,1,0.777027,0.722973,0.766892,0.753378,0.757576,0.75,0.746622,0.753378,0.763514,0.791246,0.758261,0.017434,2,500.0,6.0,1.0,,sqrt,50,balanced,True,,,,,,,
ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado,38.816343,0.623061,0.211478,0.006117,,,,,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_samples': 0.7, 'max_features': 0.5, 'max_depth': 50, 'class_weight': 'balanced_subsample', 'bootstrap': True}",0.837351,0.814792,0.845905,0.818661,0.832778,0.831657,0.826725,0.833972,0.8249,0.840623,0.830736,0.00915,4,0.912711,0.910052,0.938826,0.917326,0.922941,0.903832,0.917964,0.918505,0.927674,0.929366,0.91992,0.009678,2,0.767606,0.735714,0.786355,0.736475,0.765653,0.756098,0.758621,0.763251,0.747368,0.775221,0.759236,0.0153,2,0.736486,0.695946,0.739865,0.712838,0.720539,0.733108,0.706081,0.72973,0.719595,0.737374,0.723156,0.013997,5,300.0,2.0,2.0,0.7,0.5,50,balanced_subsample,True,,,,,,,
