antibiotic,model,model_label,feature,gene,selection_frequency,mean_rank,mean_abs_importance,mean_signed_importance,selection_fraction
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,15,1.2,0.812164,0.812164,1.0
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,15,1.866667,0.784133,0.784133,1.0
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,15,2.933333,0.691956,0.691956,1.0
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,15,4.0,0.449744,0.449744,1.0
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__catb3,catb3,15,5.333333,0.350012,0.350012,1.0
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,15,5.866667,0.317047,0.317047,1.0
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,15,9.133333,0.254933,0.254933,1.0
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__blaec,blaec,15,9.4,0.254733,0.254733,1.0
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,14,10.642857,0.234347,0.234347,0.933333
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__ctx-m-15,ctx-m-15,14,10.714286,0.231159,0.231159,0.933333
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,13,12.153846,0.21353,0.21353,0.866667
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__vgac,vgac,13,12.769231,0.213028,0.213028,0.866667
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__aminoglycoside_n-acetyltransferase_aac3-iie,aminoglycoside_n-acetyltransferase_aac3-iie,13,13.153846,0.211533,0.211533,0.866667
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__ctx-m_family,ctx-m_family,12,14.5,0.199421,0.199421,0.8
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__catb_family,catb_family,9,14.333333,0.201018,0.201018,0.6
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__aac6-ib10,aac6-ib10,7,14.857143,0.201381,0.201381,0.466667
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_fosfomycin_resistant_uhpt,escherichia_fosfomycin_resistant_uhpt,7,14.857143,0.193838,0.193838,0.466667
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__mpha,mpha,7,17.142857,0.182815,0.182815,0.466667
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,6,13.333333,0.210496,0.210496,0.4
ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,6,14.333333,0.198659,0.198659,0.4
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__ctx-m-15,ctx-m-15,15,1.4,0.652407,0.652407,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__ctx-m_family,ctx-m_family,15,1.733333,0.644212,0.644212,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__cmy-2,cmy-2,15,3.466667,0.525094,0.525094,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__ctx-m-14,ctx-m-14,15,4.666667,0.512261,0.512261,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,15,4.8,0.490932,0.490932,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,15,6.133333,0.461246,0.461246,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,15,6.6,0.454099,0.454099,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,15,8.933333,0.392454,0.392454,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,15,9.0,0.389272,0.389272,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__extended-spectrum_class_c_beta-lactamase_cmy-2,extended-spectrum_class_c_beta-lactamase_cmy-2,15,9.133333,0.39141,0.39141,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__cmycmy-2cfelat_family,cmycmy-2cfelat_family,15,10.2,0.370609,0.370609,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-14,extended-spectrum_class_a_beta-lactamase_ctx-m-14,15,13.666667,0.249763,0.249763,1.0
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,14,12.571429,0.27219,0.27219,0.933333
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__response_regulator_baer,response_regulator_baer,13,16.538462,0.217996,-0.217996,0.866667
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__qnrs1,qnrs1,11,15.363636,0.229335,0.229335,0.733333
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__multidrug_resistance_protein_mdth,multidrug_resistance_protein_mdth,11,15.636364,0.228285,-0.228285,0.733333
cefotaxime,logistic_regression_balanced,Regresión logística balanceada,amr__ctx-m-55,ctx-m-55,11,16.545455,0.218595,0.218595,0.733333
