evaluation,antibiotic,laboratory_typing_method,n,n_susceptible,n_resistant,accuracy,balanced_accuracy,roc_auc,recall_resistant,specificity_susceptible,precision_resistant,f1_resistant,false_susceptible,false_resistant,true_susceptible,true_resistant
holdout_subgroup,ciprofloxacin,TOTAL_HOLDOUT,1463,1093,370,0.8742310321257689,0.845210306372246,0.9059840261121139,0.7864864864864864,0.9039341262580055,0.7348484848484849,0.7597911227154047,79,105,988,291
holdout_subgroup,ciprofloxacin,Broth dilution,541,336,205,0.8317929759704251,0.8236933797909407,0.8885888501742161,0.7902439024390244,0.8571428571428571,0.7714285714285715,0.7807228915662651,43,48,288,162
holdout_subgroup,ciprofloxacin,Disk diffusion,703,581,122,0.903271692745377,0.8637735955531729,0.9252701673203353,0.8032786885245902,0.9242685025817556,0.6901408450704225,0.7424242424242424,24,44,537,98
holdout_subgroup,ciprofloxacin,MIC,213,175,38,0.892018779342723,0.8312781954887218,0.8833082706766917,0.7368421052631579,0.9257142857142857,0.6829268292682927,0.7088607594936709,10,13,162,28
holdout_subgroup,cefotaxime,TOTAL_HOLDOUT,1318,1064,254,0.8915022761760243,0.8293987922562311,0.8939635012728673,0.7283464566929134,0.9304511278195489,0.7142857142857143,0.7212475633528265,69,74,990,185
holdout_subgroup,cefotaxime,Agar dilution,204,186,18,0.9411764705882353,0.8172043010752688,0.8915770609318996,0.6666666666666666,0.967741935483871,0.6666666666666666,0.6666666666666666,6,6,180,12
holdout_subgroup,cefotaxime,Broth dilution,451,296,155,0.8403547671840355,0.8184503051438535,0.8947689625108979,0.7483870967741936,0.8885135135135135,0.7785234899328859,0.7631578947368421,39,33,263,116
holdout_subgroup,cefotaxime,Disk diffusion,655,580,75,0.9129770992366413,0.8173563218390805,0.8668045977011495,0.6933333333333334,0.9413793103448276,0.6046511627906976,0.6459627329192547,23,34,546,52
leave_method_out,ciprofloxacin,Broth dilution,2494,1534,960,0.7870890136327185,0.7861914656671013,0.8578450945241199,0.7822916666666667,0.7900912646675359,0.6999068033550793,0.7388096409247418,209,322,1212,751
leave_method_out,ciprofloxacin,Disk diffusion,3709,3034,675,0.8789431113507684,0.8154244488390829,0.8688630093508143,0.7155555555555555,0.9152933421226104,0.6527027027027027,0.6826855123674912,192,257,2777,483
leave_method_out,ciprofloxacin,MIC,1074,888,186,0.8743016759776536,0.8134808195292067,0.8629456068972198,0.7204301075268817,0.9065315315315315,0.6175115207373272,0.6650124069478908,52,83,805,134
leave_method_out,cefotaxime,Agar dilution,1015,934,81,0.929064039408867,0.8205184127739444,0.8777989266925742,0.691358024691358,0.949678800856531,0.5436893203883495,0.6086956521739131,25,47,887,56
leave_method_out,cefotaxime,Broth dilution,2206,1377,829,0.7964641885766093,0.7675962937558529,0.8289142758028021,0.6513872135102533,0.8838053740014524,0.7714285714285715,0.7063440156965337,289,160,1217,540
leave_method_out,cefotaxime,Disk diffusion,3326,2996,330,0.865003006614552,0.8010266213537242,0.8477009750374237,0.7212121212121212,0.8808411214953271,0.4,0.5145945945945946,92,357,2639,238
